Age,Gender,Work hours,Screen time,Sleep time,Exercise frequency,Mood Stability,Fatigue level,Headache,Social Connections,Work Stress,Personal Time Satisfaction,Overall_Balance_Score,Sleep_Hours
16 - 21,Male,9 - 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Neutral,Often tired,Frequently,Weak,Medium,Good,1,6.152207314299048
16 - 21,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Unstable,Often tired,Never,Strong,Low,Good,2,8.664885281600844
30 - 45,Male,9 - 10 hours,4 - 6 hours,6 - 8 hours,3 - 4 times per week,Unstable,Fresh,Never,Strong,High,Poor,0,6.460065150570954
30 - 45,Male,Less than 7 hours,4 - 6 hours,More than 8 hours,1 - 2 times per week,Stable,Fresh,Frequently,Moderate,High,Poor,1,6.995252653662083
30 - 45,Female,9 - 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Stable,Exhausted,Frequently,Weak,Low,Average,0,5.485236187985739
22 - 30,Male,Less than 7 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Neutral,Occasionally tired,Sometimes,Strong,Low,Good,2,7.424678221356553
45 - 60,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,Daily,Unstable,Fresh,Frequently,Strong,High,Good,1,6.007592375769328
45 - 60,Female,More than 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Unstable,Fresh,Sometimes,Strong,Medium,Good,1,6.241212077126248
45 - 60,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,Never,Unstable,Fresh,Frequently,Moderate,Low,Average,0,5.157503220575016
45 - 60,Male,7 - 8 hours,2 - 4 hours,4 - 6 hours,Daily,Neutral,Exhausted,Never,Weak,High,Poor,0,5.7668017086334515
30 - 45,Male,9 - 10 hours,2 - 4 hours,4 - 6 hours,Daily,Unstable,Often tired,Frequently,Strong,High,Average,0,4.980291237556386
22 - 30,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Unstable,Exhausted,Never,Weak,Medium,Good,0,4.651726656217328
22 - 30,Male,Less than 7 hours,More than 6 hours,More than 8 hours,Never,Neutral,Occasionally tired,Never,Strong,Medium,Poor,1,6.823100684049879
30 - 45,Female,7 - 8 hours,More than 6 hours,More than 8 hours,Daily,Stable,Occasionally tired,Never,Strong,Medium,Poor,2,7.363649934414202
22 - 30,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Stable,Occasionally tired,Sometimes,Weak,Medium,Average,0,4.757759443821298
30 - 45,Male,7 - 8 hours,More than 6 hours,Less than 4 hours,Daily,Neutral,Occasionally tired,Frequently,Weak,Medium,Poor,2,7.366809019706867
45 - 60,Male,More than 10 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Unstable,Fresh,Never,Weak,Low,Poor,0,4.756091677915545
30 - 45,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Fresh,Never,Moderate,High,Good,0,4.803805387024589
45 - 60,Male,9 - 10 hours,Less than 2 hours,Less than 4 hours,1 - 2 times per week,Stable,Exhausted,Sometimes,Strong,Low,Good,1,7.03784279653904
45 - 60,Female,7 - 8 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Often tired,Frequently,Moderate,Low,Poor,1,6.977941889253901
16 - 21,Male,9 - 10 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Weak,Low,Poor,1,6.33640396419084
30 - 45,Female,7 - 8 hours,4 - 6 hours,6 - 8 hours,3 - 4 times per week,Neutral,Exhausted,Sometimes,Strong,Low,Average,2,7.6084844859190754
16 - 21,Female,9 - 10 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Stable,Fresh,Sometimes,Moderate,Low,Average,1,7.068268832021304
30 - 45,Male,Less than 7 hours,More than 6 hours,4 - 6 hours,Daily,Neutral,Fresh,Frequently,Strong,Medium,Poor,2,8.049512863264475
30 - 45,Male,7 - 8 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Stable,Often tired,Sometimes,Moderate,Medium,Good,1,6.3558736312452
16 - 21,Male,9 - 10 hours,More than 6 hours,More than 8 hours,Never,Neutral,Often tired,Frequently,Weak,High,Poor,0,4.777654345298821
16 - 21,Male,More than 10 hours,2 - 4 hours,Less than 4 hours,Daily,Neutral,Often tired,Frequently,Moderate,Low,Poor,0,5.78174948960643
30 - 45,Female,9 - 10 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Neutral,Exhausted,Never,Strong,High,Good,1,6.488099547238901
22 - 30,Male,More than 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Fresh,Never,Strong,Medium,Good,1,7.119737107677036
45 - 60,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Neutral,Fresh,Frequently,Strong,Medium,Average,1,6.974449348570822
16 - 21,Male,Less than 7 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Stable,Often tired,Frequently,Strong,Medium,Average,1,7.273835115741267
45 - 60,Male,7 - 8 hours,More than 6 hours,More than 8 hours,Never,Stable,Occasionally tired,Frequently,Weak,Low,Average,2,7.863890037284231
22 - 30,Male,9 - 10 hours,2 - 4 hours,More than 8 hours,Daily,Neutral,Often tired,Frequently,Moderate,Low,Average,1,6.986419338450515
22 - 30,Male,Less than 7 hours,Less than 2 hours,Less than 4 hours,Never,Neutral,Exhausted,Frequently,Weak,Medium,Good,1,6.8524629050032075
22 - 30,Female,9 - 10 hours,2 - 4 hours,Less than 4 hours,Never,Stable,Often tired,Frequently,Weak,High,Poor,0,4.86376016879829
16 - 21,Female,More than 10 hours,4 - 6 hours,Less than 4 hours,Never,Stable,Often tired,Sometimes,Weak,High,Average,0,5.191334566647726
22 - 30,Male,7 - 8 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Exhausted,Frequently,Strong,Medium,Average,0,6.293576819812023
16 - 21,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,Never,Stable,Often tired,Sometimes,Strong,High,Good,0,5.447923280525744
22 - 30,Male,9 - 10 hours,More than 6 hours,Less than 4 hours,Never,Unstable,Fresh,Sometimes,Strong,Medium,Good,1,6.140512151742139
45 - 60,Female,More than 10 hours,2 - 4 hours,More than 8 hours,Daily,Unstable,Occasionally tired,Frequently,Moderate,High,Poor,0,5.835115477042054
45 - 60,Male,9 - 10 hours,4 - 6 hours,6 - 8 hours,Daily,Unstable,Often tired,Frequently,Strong,Medium,Poor,0,4.84463974240326
30 - 45,Female,9 - 10 hours,Less than 2 hours,4 - 6 hours,Never,Neutral,Exhausted,Sometimes,Moderate,High,Good,0,4.8845780376173416
45 - 60,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,Daily,Neutral,Occasionally tired,Sometimes,Strong,Low,Average,1,6.55157370458915
30 - 45,Male,Less than 7 hours,4 - 6 hours,6 - 8 hours,Daily,Stable,Exhausted,Frequently,Strong,Medium,Average,1,6.397803551522588
45 - 60,Male,More than 10 hours,4 - 6 hours,4 - 6 hours,Never,Unstable,Occasionally tired,Frequently,Weak,Medium,Average,0,4.581737232532958
16 - 21,Male,Less than 7 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Sometimes,Weak,High,Poor,1,6.3659844650686255
45 - 60,Female,7 - 8 hours,Less than 2 hours,Less than 4 hours,Never,Neutral,Often tired,Sometimes,Weak,Medium,Average,0,4.837870126144329
30 - 45,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,Daily,Neutral,Fresh,Sometimes,Moderate,Medium,Average,2,7.582458280396084
30 - 45,Male,Less than 7 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Neutral,Often tired,Never,Moderate,Medium,Good,2,8.22370578944476
22 - 30,Male,7 - 8 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Neutral,Exhausted,Sometimes,Strong,Low,Average,0,5.057180678063917
16 - 21,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Exhausted,Never,Moderate,Low,Good,1,7.459515832128668
45 - 60,Female,More than 10 hours,More than 6 hours,4 - 6 hours,Daily,Unstable,Occasionally tired,Frequently,Strong,High,Average,0,4.854020968553494
22 - 30,Female,Less than 7 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Frequently,Moderate,Low,Poor,2,7.278987721304084
45 - 60,Female,7 - 8 hours,More than 6 hours,4 - 6 hours,Never,Unstable,Fresh,Sometimes,Moderate,High,Average,0,4.677405067514111
45 - 60,Male,More than 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Often tired,Frequently,Moderate,Low,Average,0,4.741271742201201
22 - 30,Female,7 - 8 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Unstable,Exhausted,Frequently,Weak,High,Good,0,5.4215575360654515
22 - 30,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Neutral,Occasionally tired,Frequently,Moderate,Low,Good,2,7.584289297070436
22 - 30,Female,9 - 10 hours,Less than 2 hours,4 - 6 hours,Daily,Unstable,Fresh,Frequently,Weak,Low,Good,1,6.589646587000141
22 - 30,Female,9 - 10 hours,More than 6 hours,Less than 4 hours,Daily,Stable,Exhausted,Never,Weak,High,Average,0,4.912667436811585
22 - 30,Female,7 - 8 hours,More than 6 hours,Less than 4 hours,1 - 2 times per week,Neutral,Occasionally tired,Never,Moderate,Medium,Average,0,5.228539722096151
45 - 60,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Unstable,Exhausted,Sometimes,Strong,Medium,Poor,1,7.33806983276567
22 - 30,Female,7 - 8 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Unstable,Fresh,Sometimes,Strong,Low,Average,1,6.946707938995894
16 - 21,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Unstable,Fresh,Sometimes,Strong,High,Poor,0,5.506834541709714
30 - 45,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Neutral,Exhausted,Frequently,Moderate,Medium,Good,1,7.192216955312473
22 - 30,Female,Less than 7 hours,Less than 2 hours,4 - 6 hours,Daily,Neutral,Often tired,Frequently,Strong,High,Good,1,6.7539556396577884
22 - 30,Female,Less than 7 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Stable,Exhausted,Never,Weak,Medium,Good,2,7.732723686587383
45 - 60,Male,7 - 8 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Neutral,Occasionally tired,Never,Strong,High,Poor,1,6.865355826939538
22 - 30,Female,More than 10 hours,2 - 4 hours,Less than 4 hours,Daily,Neutral,Often tired,Sometimes,Moderate,Low,Average,0,5.880789657258731
22 - 30,Female,More than 10 hours,Less than 2 hours,Less than 4 hours,Never,Unstable,Occasionally tired,Never,Strong,High,Good,0,4.578624279682198
22 - 30,Male,9 - 10 hours,2 - 4 hours,4 - 6 hours,Never,Neutral,Exhausted,Never,Weak,Medium,Average,0,6.098820797818085
45 - 60,Female,9 - 10 hours,More than 6 hours,4 - 6 hours,Daily,Unstable,Often tired,Never,Moderate,Low,Average,0,5.755800778981816
22 - 30,Female,9 - 10 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Strong,High,Good,1,6.738776540728296
30 - 45,Male,7 - 8 hours,2 - 4 hours,Less than 4 hours,Never,Neutral,Exhausted,Never,Moderate,Medium,Poor,0,4.663518063897744
45 - 60,Male,More than 10 hours,Less than 2 hours,4 - 6 hours,Never,Stable,Exhausted,Sometimes,Moderate,Low,Average,0,6.247157248213554
30 - 45,Male,Less than 7 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Often tired,Sometimes,Moderate,High,Good,1,6.292864481697067
45 - 60,Female,7 - 8 hours,2 - 4 hours,4 - 6 hours,3 - 4 times per week,Neutral,Exhausted,Never,Strong,Medium,Average,1,7.083678172892258
22 - 30,Male,Less than 7 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Stable,Fresh,Sometimes,Moderate,High,Average,0,6.341744801063626
30 - 45,Male,Less than 7 hours,2 - 4 hours,More than 8 hours,Daily,Unstable,Occasionally tired,Frequently,Strong,High,Average,1,6.421158543661283
45 - 60,Male,7 - 8 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Weak,Low,Average,1,6.03647394964718
16 - 21,Male,Less than 7 hours,Less than 2 hours,Less than 4 hours,Daily,Neutral,Exhausted,Frequently,Strong,Low,Average,1,6.9682084438607514
22 - 30,Male,More than 10 hours,2 - 4 hours,6 - 8 hours,Never,Stable,Exhausted,Sometimes,Weak,Medium,Poor,0,4.622155919709727
45 - 60,Male,Less than 7 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Fresh,Sometimes,Strong,Low,Poor,2,7.912139968434072
16 - 21,Female,More than 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Often tired,Frequently,Moderate,Medium,Good,0,5.0537552962944075
45 - 60,Female,More than 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Neutral,Exhausted,Sometimes,Strong,High,Poor,0,6.112402559586123
16 - 21,Male,More than 10 hours,Less than 2 hours,6 - 8 hours,Daily,Stable,Exhausted,Never,Moderate,High,Poor,0,5.9965193807673165
22 - 30,Male,9 - 10 hours,2 - 4 hours,More than 8 hours,Daily,Neutral,Exhausted,Frequently,Weak,Medium,Poor,1,6.265666019110573
30 - 45,Male,Less than 7 hours,4 - 6 hours,4 - 6 hours,1 - 2 times per week,Stable,Exhausted,Never,Strong,High,Average,0,4.869042038712754
16 - 21,Female,7 - 8 hours,Less than 2 hours,More than 8 hours,Daily,Unstable,Occasionally tired,Frequently,Moderate,Low,Average,2,8.570351922786028
45 - 60,Female,7 - 8 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Exhausted,Sometimes,Weak,High,Good,0,4.918698646673421
22 - 30,Female,Less than 7 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Neutral,Occasionally tired,Frequently,Weak,Low,Good,2,7.399347564316719
16 - 21,Female,9 - 10 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Exhausted,Frequently,Strong,Medium,Good,0,5.240944205582764
45 - 60,Female,9 - 10 hours,4 - 6 hours,More than 8 hours,Never,Stable,Often tired,Never,Weak,Medium,Average,0,5.469045970382043
45 - 60,Female,More than 10 hours,More than 6 hours,6 - 8 hours,Daily,Unstable,Fresh,Sometimes,Moderate,High,Poor,0,5.736509543060592
45 - 60,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Neutral,Often tired,Never,Weak,High,Poor,0,5.237827279139545
16 - 21,Female,Less than 7 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Neutral,Exhausted,Sometimes,Weak,Low,Average,1,7.410687876529371
16 - 21,Female,7 - 8 hours,2 - 4 hours,More than 8 hours,Daily,Neutral,Exhausted,Never,Moderate,Low,Good,2,8.028468876827223
16 - 21,Male,Less than 7 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Stable,Exhausted,Frequently,Weak,High,Good,1,7.430892865503881
30 - 45,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Stable,Often tired,Never,Weak,High,Good,1,7.372296585330673
16 - 21,Male,Less than 7 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Stable,Exhausted,Sometimes,Weak,Medium,Average,1,6.555238050383167
16 - 21,Male,7 - 8 hours,More than 6 hours,More than 8 hours,Daily,Stable,Often tired,Sometimes,Weak,Medium,Good,2,8.184829137724085
16 - 21,Female,More than 10 hours,2 - 4 hours,4 - 6 hours,3 - 4 times per week,Stable,Occasionally tired,Frequently,Moderate,Medium,Good,2,7.092900825439996
30 - 45,Female,7 - 8 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Unstable,Fresh,Sometimes,Weak,High,Average,0,5.425069432266296
16 - 21,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,Daily,Stable,Fresh,Never,Moderate,High,Poor,1,6.023184924793301
45 - 60,Female,More than 10 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Stable,Often tired,Frequently,Weak,High,Average,0,5.994941876267513
16 - 21,Male,7 - 8 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Sometimes,Weak,Medium,Average,1,7.392477843881588
45 - 60,Female,7 - 8 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Often tired,Sometimes,Weak,High,Average,0,4.573366405781195
45 - 60,Male,Less than 7 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Neutral,Occasionally tired,Never,Weak,Low,Average,2,8.215089703802876
45 - 60,Female,Less than 7 hours,4 - 6 hours,More than 8 hours,Never,Stable,Exhausted,Never,Moderate,High,Poor,0,5.004873888688041
30 - 45,Female,More than 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Stable,Occasionally tired,Frequently,Moderate,High,Good,2,7.341048247374583
30 - 45,Male,Less than 7 hours,2 - 4 hours,Less than 4 hours,Never,Neutral,Occasionally tired,Sometimes,Moderate,High,Average,0,5.926699171769105
30 - 45,Female,Less than 7 hours,Less than 2 hours,6 - 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Never,Strong,High,Poor,1,6.642276222475972
16 - 21,Male,7 - 8 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Fresh,Frequently,Weak,High,Good,1,7.449982228565505
45 - 60,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,Never,Neutral,Occasionally tired,Sometimes,Weak,Low,Good,1,7.445429965633879
30 - 45,Male,Less than 7 hours,Less than 2 hours,More than 8 hours,Never,Stable,Exhausted,Sometimes,Moderate,Low,Good,2,7.130103185970559
30 - 45,Male,9 - 10 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Neutral,Exhausted,Frequently,Strong,High,Average,0,6.290413675374399
16 - 21,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,Never,Neutral,Exhausted,Frequently,Weak,Medium,Average,1,7.27951418320104
30 - 45,Female,Less than 7 hours,Less than 2 hours,Less than 4 hours,Never,Unstable,Occasionally tired,Never,Moderate,High,Good,0,5.523354884231332
16 - 21,Female,More than 10 hours,4 - 6 hours,Less than 4 hours,Never,Neutral,Often tired,Sometimes,Weak,High,Good,0,5.5642269705306315
22 - 30,Male,More than 10 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Neutral,Often tired,Sometimes,Weak,High,Good,1,6.441673338104379
30 - 45,Female,More than 10 hours,More than 6 hours,4 - 6 hours,Never,Unstable,Exhausted,Sometimes,Moderate,Medium,Good,0,4.714344022679552
22 - 30,Male,9 - 10 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Unstable,Fresh,Frequently,Moderate,Medium,Good,1,6.577646592902888
16 - 21,Female,7 - 8 hours,More than 6 hours,4 - 6 hours,Never,Stable,Often tired,Never,Weak,Medium,Good,1,7.276705007275286
45 - 60,Female,Less than 7 hours,4 - 6 hours,Less than 4 hours,Never,Unstable,Occasionally tired,Sometimes,Weak,Low,Poor,0,5.394824733646909
30 - 45,Female,Less than 7 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Often tired,Frequently,Moderate,Medium,Good,1,6.4753830077344166
16 - 21,Male,Less than 7 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Unstable,Exhausted,Sometimes,Weak,Low,Average,0,5.565234532910046
45 - 60,Female,9 - 10 hours,2 - 4 hours,Less than 4 hours,Never,Unstable,Fresh,Never,Weak,Low,Average,0,4.984941007269459
45 - 60,Female,More than 10 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Stable,Often tired,Sometimes,Moderate,Medium,Average,1,6.254239120029139
22 - 30,Male,7 - 8 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Unstable,Often tired,Never,Weak,Medium,Good,0,5.038486461898762
16 - 21,Female,9 - 10 hours,Less than 2 hours,6 - 8 hours,Daily,Stable,Exhausted,Never,Weak,Medium,Average,1,6.835201893687525
45 - 60,Male,More than 10 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Unstable,Fresh,Sometimes,Strong,Low,Poor,1,7.404232161241172
30 - 45,Female,9 - 10 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Neutral,Fresh,Sometimes,Moderate,High,Good,1,7.04404469501246
30 - 45,Male,7 - 8 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Unstable,Exhausted,Never,Strong,Medium,Average,0,5.254568326209245
22 - 30,Male,More than 10 hours,More than 6 hours,4 - 6 hours,Daily,Stable,Occasionally tired,Frequently,Strong,Medium,Poor,1,6.855091755134048
45 - 60,Female,9 - 10 hours,4 - 6 hours,More than 8 hours,Daily,Unstable,Often tired,Never,Strong,Medium,Poor,0,4.540142395555453
16 - 21,Male,7 - 8 hours,4 - 6 hours,6 - 8 hours,1 - 2 times per week,Stable,Occasionally tired,Sometimes,Weak,Low,Average,1,6.145764740656153
30 - 45,Male,Less than 7 hours,Less than 2 hours,4 - 6 hours,Daily,Stable,Often tired,Sometimes,Weak,Low,Poor,1,6.922510840048755
45 - 60,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,Daily,Neutral,Often tired,Frequently,Strong,High,Average,1,7.485080775156395
45 - 60,Male,Less than 7 hours,4 - 6 hours,More than 8 hours,Daily,Neutral,Occasionally tired,Never,Strong,Medium,Poor,2,8.897771074506666
22 - 30,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Exhausted,Never,Strong,Low,Good,1,6.210126022854786
